lon_min,lat_min,lon_max,lat_max,value,geometry,_merge
28.25,-14.5,28.5,-14.25,89.80339787115349,,left_only
28.5,-14.5,28.75,-14.25,69.92180490995531,,left_only
28.75,-14.5,29.0,-14.25,21.145026643923416,,left_only
29.0,-14.5,29.25,-14.25,13.148354094563617,,left_only
30.75,-14.5,31.0,-14.25,23.43328755967877,,left_only
31.0,-14.5,31.25,-14.25,50.15657361703256,,left_only
31.25,-14.5,31.5,-14.25,73.34671905286177,,left_only
31.5,-14.5,31.75,-14.25,57.510046675306285,,left_only
31.75,-14.5,32.0,-14.25,44.6584007698699,,left_only
32.0,-14.5,32.25,-14.25,32.71506653488484,,left_only
32.25,-14.5,32.5,-14.25,22.153360041843825,,left_only
33.0,-14.5,33.25,-14.25,21.72827723331409,,left_only
33.25,-14.5,33.5,-14.25,41.58492908603069,,left_only
33.5,-14.5,33.75,-14.25,87.24156702644893,,left_only
33.75,-14.5,34.0,-14.25,146.861603009825,,left_only
34.0,-14.5,34.25,-14.25,148.52335647786708,,left_only
34.25,-14.5,34.5,-14.25,128.38848085148754,,left_only
34.5,-14.5,34.75,-14.25,93.97343518505022,,left_only
34.75,-14.5,35.0,-14.25,68.01329503124089,,left_only
35.0,-14.5,35.25,-14.25,75.12162061399056,,left_only
35.25,-14.5,35.5,-14.25,94.91505090454336,,left_only
35.5,-14.5,35.75,-14.25,78.80680965460533,,left_only
35.75,-14.5,36.0,-14.25,35.69507228840382,,left_only
36.25,-14.5,36.5,-14.25,11.268310983234072,,left_only
36.5,-14.5,36.75,-14.25,14.009967580600687,,left_only
36.75,-14.5,37.0,-14.25,14.35169545750216,,left_only
37.75,-14.5,38.0,-14.25,12.898329318530728,,left_only
38.0,-14.5,38.25,-14.25,13.65329571845814,,left_only
38.25,-14.5,38.5,-14.25,23.691660504951983,,left_only
38.5,-14.5,38.75,-14.25,19.499950447934225,,left_only
38.75,-14.5,39.0,-14.25,25.99166660207959,,left_only
39.0,-14.5,39.25,-14.25,13.17497369968521,,left_only
39.25,-14.5,39.5,-14.25,28.219993387459454,,left_only
39.5,-14.5,39.75,-14.25,38.016637253201,,left_only
39.75,-14.5,40.0,-14.25,52.04833236709453,,left_only
40.0,-14.5,40.25,-14.25,41.86494093667727,,left_only
40.25,-14.5,40.5,-14.25,51.506322808139885,,left_only
40.5,-14.5,40.75,-14.25,105.57344737930543,,left_only
40.75,-14.5,41.0,-14.25,10.025040212613137,,left_only
23.25,-14.25,23.5,-14.0,12.154994224524104,,left_only
28.0,-14.25,28.25,-14.0,14.481649469413128,,left_only
28.25,-14.25,28.5,-14.0,43.881449543106896,,left_only
28.5,-14.25,28.75,-14.0,74.35678573759401,,left_only
28.75,-14.25,29.0,-14.0,32.46169953689184,,left_only
29.0,-14.25,29.25,-14.0,21.324991519568925,,left_only
29.25,-14.25,29.5,-14.0,23.70673313696443,,left_only
31.0,-14.25,31.25,-14.0,31.3482541314105,,left_only
31.25,-14.25,31.5,-14.0,55.99664300671998,,left_only
31.5,-14.25,31.75,-14.0,50.82168407835468,,left_only
31.75,-14.25,32.0,-14.0,49.971617565426754,,left_only
32.0,-14.25,32.25,-14.0,56.08172074894799,,left_only
32.25,-14.25,32.5,-14.0,42.968403990238016,,left_only
32.5,-14.25,32.75,-14.0,24.284977779074893,,left_only
32.75,-14.25,33.0,-14.0,31.55654665145744,,left_only
33.0,-14.25,33.25,-14.0,69.94163049081305,,left_only
33.25,-14.25,33.5,-14.0,102.69799284630574,,left_only
